Time_sec,Y_S,phase
0,0.000466146,0
0.23,0.000465965,
0.496,0.000465661,
0.766,0.000465876,
1.038,0.000466623,
1.3,0.000466935,
1.569,0.000466585,
1.835,0.000466325,
2.109,0.000466662,
2.381,0.000466458,
2.651,0.000467168,
2.915,0.000466557,
3.186,0.000467426,
3.452,0.000466197,
3.722,0.000466901,
3.983,0.000466778,
4.246,0.000467121,
4.515,0.000466549,
4.784,0.000466388,
5.045,0.000466665,
5.297,0.00046665,
5.582,0.000466791,
5.846,0.000466822,
6.116,0.000466562,
6.368,0.000466257,
6.636,0.00046604,
6.902,0.000465889,
7.168,0.000466228,
7.444,0.000466527,
7.715,0.000465989,
8.047,0.000466121,
8.422,0.000466549,
8.668,0.000466862,
8.928,0.000466825,
9.186,0.000466346,
9.468,0.000466678,
9.733,0.000466658,
10.002,0.000466673,
10.266,0.000466909,
10.534,0.000465888,
10.794,0.000466513,
11.048,0.000466605,
11.326,0.000466773,
11.62,0.000466819,
11.884,0.000466197,
12.154,0.000466648,
12.415,0.000466488,
12.685,0.000466609,
12.956,0.000466004,
13.215,0.000466315,
13.481,0.000466414,
13.75,0.000466571,
14.015,0.000466339,
14.313,0.000466672,
14.6,0.000466457,
14.863,0.000466467,
15.112,0.000465862,
15.368,0.00046657,
15.632,0.000466408,
15.888,0.000466631,
16.154,0.000466419,
16.417,0.000465855,
16.683,0.000466885,
16.951,0.000465887,
17.212,0.000465693,
17.466,0.00046485,
17.735,0.00046629,
18.01,0.000465842,
18.27,0.0004658,
18.536,0.000467846,
18.789,0.0004685,
19.055,0.000467781,
19.321,0.000468295,
19.582,0.000468236,
19.85,0.000468315,
20.12,0.00046736,
20.387,0.000468075,
20.678,0.000468981,
20.949,0.000468101,
21.216,0.000468349,
21.482,0.000468105,
21.746,0.000468392,
22.002,0.000468202,
22.269,0.000468116,
22.536,0.000468872,
22.798,0.000468023,
23.053,0.000468122,
23.337,0.000468686,
23.613,0.000468755,
23.865,0.000468267,
24.121,0.000468108,
24.38,0.000468353,
24.651,0.000468157,
24.901,0.000467625,
25.147,0.000468265,
25.417,0.000467545,
25.687,0.000467598,
25.955,0.0004682,
26.221,0.000468061,
26.486,0.00046768,
26.747,0.000468089,
27.017,0.000468284,
27.287,0.000467878,
27.555,0.00046775,
27.814,0.000468142,
28.09,0.00046766,
28.362,0.00046737,
28.622,0.000467968,
28.865,0.000468093,
29.135,0.000467457,
29.4,0.000468007,
29.646,0.000467882,
29.886,0.000468053,
30.15,0.000468306,
30.405,0.000468372,
30.668,0.000468226,
30.931,0.000468365,
31.187,0.000468223,
31.448,0.000468439,
31.716,0.000467757,
31.987,0.000468693,
32.254,0.000467943,
32.521,0.000468078,
32.786,0.00046834,
33.033,0.000467765,
33.302,0.00046814,
33.581,0.000468027,
33.853,0.000468468,
34.113,0.000468172,
34.384,0.000468272,
34.649,0.000468391,
34.92,0.000468717,
35.181,0.000467771,
35.435,0.000468813,
35.714,0.000468184,
35.982,0.000468318,
36.247,0.00046813,
36.52,0.000468429,
36.787,0.00046779,
37.053,0.000468113,
37.322,0.000467752,
37.587,0.00046813,
37.855,0.000467527,
38.121,0.0004684,
38.382,0.000467996,
38.65,0.000468111,
38.915,0.00046775,
39.187,0.000468079,
39.448,0.000467933,
39.72,0.000468031,
39.982,0.000468331,
40.234,0.000467883,
40.501,0.00046795,
40.767,0.000467858,
41.047,0.00046787,
41.321,0.000467974,
41.581,0.00046809,
41.834,0.000467932,
42.099,0.000467962,
42.362,0.000468229,
42.633,0.000468179,
42.916,0.000468328,
43.165,0.000468424,
43.449,0.000467708,
43.72,0.000467867,
43.986,0.000467308,
44.247,0.000467276,
44.516,0.000466925,
44.796,0.000467012,
45.05,0.000466886,
45.331,0.000468091,
45.587,0.000468011,
45.848,0.000467816,
46.117,0.000467295,
46.383,0.000467603,
46.637,0.000467732,
46.901,0.000467219,
47.163,0.000467914,
47.445,0.000467244,
47.705,0.000467523,
47.983,0.000467975,
48.245,0.000468459,
48.517,0.00046776,
48.785,0.00046834,
49.049,0.000467899,
49.302,0.000467796,
49.538,0.000467491,
49.814,0.000467921,
50.083,0.000467339,
50.347,0.000467992,
50.621,0.0004679,
50.882,0.000467936,
51.15,0.000467113,
51.414,0.000468568,
51.683,0.00046822,
51.932,0.000466728,
52.195,0.00046751,
52.451,0.000468328,
52.713,0.000467423,
52.97,0.000467857,
53.23,0.000468071,
53.504,0.000467586,
53.764,0.000467572,
54.019,0.000468071,
54.282,0.000467681,
54.55,0.000467871,
54.816,0.000467687,
55.056,0.000468104,
55.32,0.000468163,
55.596,0.000467931,
55.877,0.000467847,
56.136,0.000468216,
56.416,0.000468314,
56.671,0.000467572,
56.934,0.000467767,
57.196,0.000468399,
57.477,0.000467793,
57.75,0.000467748,
58.017,0.000467751,
58.283,0.000467994,
58.544,0.000466865,
58.818,0.000467574,
59.103,0.000467456,
59.351,0.000467282,
59.615,0.000467746,
59.877,0.00046794,
60.148,0.000467269,
60.395,0.00046716,
60.638,0.000468196,
60.9,0.000467521,
61.151,0.000467203,
61.404,0.000468011,
61.664,0.000468372,
61.917,0.000467768,
62.178,0.000467899,
62.451,0.000468649,
62.715,0.000467363,
62.978,0.000467952,
63.248,0.000468896,
63.532,0.000467779,
63.797,0.000467595,
64.098,0.00046823,
64.537,0.00046758,
64.784,0.000467816,
65.048,0.000468482,
65.297,0.000467437,
65.578,0.000467047,
65.843,0.000467309,
66.088,0.000466642,
66.35,0.000466452,
66.618,0.000466021,
66.882,0.000466097,
67.135,0.000465949,
67.371,0.000466333,
67.655,0.000465175,
67.915,0.000465204,
68.201,0.000465333,
68.467,0.000465586,
68.735,0.000467077,
69.011,0.000467608,
69.285,0.000467657,
69.55,0.000467492,
69.818,0.000467707,
70.082,0.000467829,
70.365,0.0004676,
70.632,0.00046734,
70.884,0.00046831,
71.15,0.000468124,
71.417,0.000468211,
71.684,0.000467559,
71.95,0.000468048,
72.215,0.000467878,
72.484,0.000468244,
72.75,0.000468032,
73.003,0.00046826,
73.283,0.00046775,
73.545,0.000467575,
73.831,0.000467718,
74.087,0.000467661,
74.345,0.000468419,
74.612,0.000468161,
74.867,0.000468292,
75.129,0.000468421,
75.383,0.00046803,
75.648,0.000468348,
75.904,0.000467892,
76.181,0.000467229,
76.437,0.000468276,
76.714,0.000467833,
76.987,0.000467422,
77.249,0.000467888,
77.503,0.000468444,
77.765,0.000467589,
78.038,0.000467694,
78.314,0.000468512,
78.582,0.000468237,
78.848,0.000466869,
79.12,0.00046879,
79.387,0.000468271,
79.653,0.000468253,
79.915,0.000468371,
80.17,0.000468835,
80.432,0.000468096,
80.694,0.000467029,
80.95,0.000468277,
81.219,0.000467799,
81.5,0.000467012,
81.753,0.00046817,
82.019,0.000469062,
82.302,0.000467212,
82.566,0.000468266,
82.838,0.00046895,
83.098,0.000468197,
83.353,0.000467855,
83.628,0.000468808,
83.894,0.000468861,
84.151,0.000468078,
84.417,0.00046849,
84.694,0.000469126,
84.961,0.000468349,
85.217,0.000467649,
85.485,0.000468742,
85.72,0.000468901,
85.981,0.000467889,
86.229,0.000467991,
86.511,0.000468546,
86.769,0.000458019,
87.063,0.000457994,
87.324,0.000458085,
87.582,0.000468306,
87.844,0.000468213,
88.116,0.000468391,
88.583,0.000469252,
88.849,0.000468567,
89.117,0.000468959,
89.354,0.000468911,
89.62,0.000468937,
89.886,0.000469081,
90.202,0.000469307,
90.45,0.000469312,
90.697,0.000468697,
90.968,0.000468844,
91.244,0.000469091,
91.516,0.000468413,
91.784,0.000468876,
92.048,0.000468987,
92.302,0.000468344,
92.582,0.000468819,
92.837,0.000468942,
93.115,0.000468559,
93.367,0.000468125,
93.68,0.000468554,
93.935,0.000468152,
94.217,0.000468075,
94.485,0.000468381,
94.787,0.000468238,
95.047,0.000468304,
95.346,0.000468283,
95.611,0.000468503,
95.866,0.000467886,
96.121,0.00046842,
96.401,0.000468126,
96.683,0.000467744,
96.949,0.000468585,
97.233,0.000468405,
97.496,0.000467885,
97.77,0.00046814,
98.03,0.00046811,
98.285,0.00046802,
98.548,0.000467522,
98.817,0.000468356,
99.084,0.000468268,
99.429,0.000467387,
99.7,0.000468694,
99.962,0.000468236,
100.221,0.000467707,
100.48,0.00046804,
100.749,0.000468164,
100.999,0.00046796,
101.267,0.00046754,
101.547,0.000468688,
101.799,0.00046809,
102.064,0.000467644,
102.311,0.000467963,
102.564,0.000468095,
102.815,0.000468074,
103.082,0.000467828,
103.348,0.000468863,
103.619,0.000468004,
103.881,0.000467938,
104.135,0.00046839,
104.386,0.000468319,
104.664,0.000467556,
104.92,0.000468322,
105.187,0.00046872,
105.434,0.000468539,
105.713,0.000467967,
105.985,0.000468598,
106.254,0.000467967,
106.516,0.000468056,
106.783,0.000467964,
107.053,0.000467963,
107.321,0.00046786,
107.587,0.000468195,
107.856,0.000467964,
108.122,0.000468323,
108.396,0.000467376,
108.667,0.000467858,
108.945,0.000467607,
109.203,0.000468296,
109.462,0.000468316,
109.719,0.000468157,
110.011,0.000468009,
110.253,0.000468426,
110.515,0.000468414,
110.811,0.000468165,
111.062,0.000468505,
111.319,0.00046825,
111.579,0.000468243,
111.851,0.000467935,
112.121,0.000468729,
112.385,0.000468391,
112.662,0.000468605,
112.92,0.000468642,
113.165,0.000467845,
113.436,0.000468297,
113.699,0.000468595,
113.953,0.000468162,
114.232,0.000468013,
114.479,0.000468921,
114.737,0.000468883,
115.019,0.000468159,
115.298,0.000468225,
115.56,0.000468521,
115.816,0.000468298,
116.064,0.000468014,
116.323,0.000468748,
116.581,0.000468523,
116.843,0.000468701,
117.116,0.000468091,
117.384,0.00046888,
117.648,0.000468663,
117.901,0.000468257,
118.179,0.000468468,
118.454,0.000468332,
118.731,0.000468444,
119.017,0.000469197,
119.294,0.000468784,
119.553,0.000468076,
119.819,0.000468772,
120.084,0.000469318,
120.361,0.000468529,
120.632,0.000468788,
120.894,0.000468152,
121.15,0.000467629,
121.42,0.000467635,
121.67,0.000468124,
121.931,0.000467641,
122.198,0.000468371,
122.463,0.000467257,
122.732,0.000467598,
123.018,0.000468043,
123.297,0.000467657,
123.561,0.000467263,
123.817,0.000467295,
124.084,0.000467938,
124.351,0.000468146,
124.614,0.000468665,
124.87,0.000469307,
125.137,0.000468684,
125.404,0.000468928,
125.678,0.000469584,
125.961,0.000468738,
126.227,0.00046883,
126.472,0.000468848,
126.732,0.000468785,
127.004,0.000469007,
127.279,0.000468795,
127.536,0.000469053,
127.803,0.00046916,
128.067,0.000468287,
128.334,0.00046881,
128.594,0.000468415,
128.864,0.000468748,
129.134,0.00046847,
129.399,0.000469189,
129.661,0.000469003,
129.919,0.000468651,
130.18,0.000469298,
130.451,0.00046847,
130.719,0.000469271,
130.984,0.000469439,
131.261,0.000468529,
131.533,0.00046886,
131.794,0.000469134,
132.066,0.000468921,
132.333,0.000468715,
132.598,0.000468861,
132.86,0.000469429,
133.124,0.000468468,
133.394,0.000469347,
133.66,0.000468596,
133.926,0.00046897,
134.198,0.000468841,
134.446,0.000468879,
134.733,0.00046858,
135.003,0.000468483,
135.281,0.000469232,
135.553,0.000468847,
135.83,0.000468992,
136.101,0.000469028,
136.384,0.000469077,
136.664,0.000468909,
136.934,0.000468988,
137.198,0.000468218,
137.466,0.000468889,
137.733,0.000468915,
137.994,0.000468376,
138.252,0.00046859,
138.527,0.000468959,
138.799,0.000468378,
139.06,0.000468935,
139.332,0.000468344,
139.6,0.000468433,
139.865,0.000467999,
140.136,0.000468465,
140.402,0.000468216,
140.669,0.000468661,
140.932,0.000468329,
141.2,0.000468535,
141.479,0.000468409,
141.751,0.000468769,
142.02,0.000468254,
142.287,0.000468092,
142.563,0.000468553,
142.844,0.000468232,
143.117,0.000468409,
143.383,0.000468435,
143.644,0.0004681,
143.915,0.00046808,
144.183,0.000468281,
144.465,0.000468553,
144.724,0.00046821,
144.997,0.00046861,
145.269,0.000468481,
145.515,0.000468665,
145.785,0.000468996,
146.047,0.000468169,
146.309,0.000468829,
146.583,0.000468919,
146.834,0.000468441,
147.086,0.000468506,
147.347,0.00046892,
147.605,0.000468371,
147.864,0.000468544,
148.137,0.000469126,
148.397,0.000468162,
148.66,0.000468189,
148.932,0.000468639,
149.194,0.000468775,
149.465,0.000468155,
149.734,0.000468686,
150.012,0.000469121,
